MES,2015,2016,2017,2018,2019,2020,2021
1,0.0,1.0,0.01,11.0,0.01,18.0,19.0
2,2.03,3.51,3.0,15.0,1.0,37.03,4.01
3,1.51,3.8,2.01,0.0,1.0,3.0,3.5
4,3.0,0.0,0.01,8.0,0.0,0.01,3.0
5,40.01,1.02,51.0,7.0,21.51,60.0,19.0
6,120.0,110.7,128.7,28.6,52.0,126.0,388.0
7,235.0,160.3,53.92,54.3,114.0,50.0,35.0
8,177.9,331.6,29.5,135.51,107.0,64.01,192.01
9,91.2,381.7,135.61,21.4,74.0,365.0,217.0
10,426.5,258.6,117.6,49.2,550.0,90.0,152.0
11,200.5,51.3,18.21,15.0,323.02,195.03,14.01
12,8.01,0.01,4.0,111.0,0.01,0.0,0.0
