MES,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,,,,
1,97.05666666666666,50.0,59.9,37.2,47.7,47.1,36.1,36.3,,,,
2,97.05666666666666,61.8,76.6,73.2,71.1,61.2,58.04,46.4,,,,
3,97.05666666666666,96.1,89.3,110.8,93.8,110.7,99.9,91.0,,,,
4,97.05666666666666,112.6,103.2,92.9,132.0,132.8,122.2,113.48,,,,
5,97.05666666666666,136.51,129.8,115.6,136.4,96.0,116.48,144.3,,,,
6,97.05666666666666,121.6,99.9,120.6,118.9,117.3,87.8,92.98,,,,
7,132.6,139.2,103.2,140.6,133.7,128.8,109.3,116.9,,,,
8,137.2,109.25,119.4,114.8,135.2,96.0,108.4,113.56,,,,
9,98.94,96.4,82.0,99.1,100.5,84.4,83.7,72.1,,,,
10,87.3,77.3,76.5,63.1,82.5,91.1,79.0,64.1,,,,
11,69.4,61.0,55.3,52.8,40.8,52.0,45.1,43.6,,,,
12,56.9,52.4,45.7,48.6,46.3,33.22,43.13,39.3,,,,
